ParentFile,Filename,shimmerLocaldB_sma3nz_stddevNorm,loudness_sma3_percentile20.0,F3amplitudeLogRelF0_sma3nz_amean,loudness_sma3_percentile50.0,loudness_sma3_amean,F2amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,F2amplitudeLogRelF0_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F1amplitudeLogRelF0_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2,alphaRatioV_sma3nz_stddevNorm,StddevUnvoicedSegmentLength,loudness_sma3_stddevNorm,loudness_sma3_percentile80.0,shimmerLocaldB_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,HNRdBACF_sma3nz_amean,slopeV500.1500_sma3nz_amean,loudness_sma3_meanRisingSlope,alphaRatioV_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F1amplitudeLogRelF0_sma3nz_stddevNorm
gemaps_part_pain.csv,c88393c36853b7b313cc386f95059304_Pain_22_male_210828_1114409.wav_features_GeMAPSv01a.csv,1.152779,0.2425881,-96.04472,1.364629,1.254728,-95.14789,-0.9435709,0.3366667,-0.9613567,46.5276,-96.68382,5.902889,-1.575704,0.3887444,0.6610333,1.911324,0.6502326,0.07075213,44.84965,10.04199,-0.003015832,8.231347,-4.879635,40.62471,-1.012236
gemaps_part_pain.csv,5fbfa57c3d082d084b092413b5cd1bef_Pain_84_male_180531_63457.wav_features_GeMAPSv01a.csv,0.407949,0.1283299,-192.5663,0.1694871,0.2034809,-192.5706,-0.1867401,1.1675,-0.186948,48.38773,-193.3887,4.564583,-2.477311,0.7157994,0.7638381,0.2297759,1.491532,0.0482099,47.69144,7.697568,-0.002273839,2.015133,-4.268639,43.82314,-0.1842907
gemaps_part_pain.csv,ab92e7dcf9d6e5cdfe66f77aea3356f4_Pain_71_female_180627_142873.wav_features_GeMAPSv01a.csv,0.5467462,0.3384997,-90.59286,0.7747701,0.7779362,-86.88692,-1.001107,0.19,-1.082522,55.39515,-114.6688,7.211094,-17.8119,0.183303,0.5959048,1.021406,1.296669,0.09785097,50.59351,7.722773,-0.000450991,12.9196,-0.6836243,48.18406,-0.8642099
gemaps_part_pain.csv,14ecdb2e2a07400c4c4ac44d2d93c543_Pain_133_female_180526_43720.wav_features_GeMAPSv01a.csv,0.710126,0.1374298,-161.7047,0.4840822,0.6992517,-161.2353,-0.4510151,0.47625,-0.4578327,45.37517,-163.1215,4.768944,-3.874959,0.3793395,1.031405,1.204543,1.26832,0.06671539,43.72668,6.43643,0.00415236,9.161923,-3.861222,40.60622,-0.4555943
gemaps_part_pain.csv,7e0f539ec9cdb40f5f3dc2dbeb1fd934_Pain_13_male_180611_109587.wav_features_GeMAPSv01a.csv,0.5727364,0.2362767,-117.0369,0.4690419,0.9400214,-117.8571,-0.786713,0.2015385,-0.7703912,51.21702,-123.4678,9.715549,7.457933,0.1680589,1.035422,1.800812,1.1829,0.1416595,45.64287,6.052658,0.005591169,9.429832,1.679542,41.50147,-0.7416151
gemaps_part_pain.csv,161756924d07f8567fd23b07129b8d4a_Pain_42_female_210313_974832.wav_features_GeMAPSv01a.csv,1.070547,0.08162835,-117.2432,0.1936861,0.5226746,-115.0347,-0.7790474,0.4383333,-0.8135879,47.76416,-116.2118,4.049324,-0.2241765,0.2998009,0.9003639,1.058208,0.6260356,0.06299257,46.42993,12.55337,-0.02103227,7.619672,-12.50259,43.71484,-0.8562621
gemaps_part_pain.csv,1fca4126af4dff7f5a774b4b385b6e5a_Pain_64_female_180530_61418.wav_features_GeMAPSv01a.csv,0.565614,0.2932935,-86.37651,0.4421553,0.4731885,-81.37682,-0.9392287,0.09352941,-1.040286,50.49286,-84.94938,14.72998,-0.7908705,0.08281384,0.4929938,0.6513205,1.437592,0.1895754,43.84356,5.591732,-0.01663397,3.904898,-8.528161,35.76287,-1.092863
gemaps_part_pain.csv,NO-EMAIL_Pain_NO-AGE_NO-GENDER_180601_69768.wav_features_GeMAPSv01a.csv,0.7376749,0.2893181,-91.1401,0.7939553,0.7858219,-92.00588,-1.032964,0.2942857,-1.014693,48.21051,-90.23055,5.089573,-0.9864281,0.3396577,0.7346681,1.007276,0.7798702,0.08379207,45.00803,7.760614,-0.001267663,3.089928,-4.463605,43.12094,-1.086773
gemaps_part_pain.csv,d6c1cd3d617e11c90ebabe149ae92153_Pain_38_male_211105_1174259.wav_features_GeMAPSv01a.csv,0.8502105,0.4733986,-40.97024,1.422333,1.385244,-34.54692,-1.805761,0.1366667,-2.233633,51.43252,-44.38557,3.268929,1.070695,0.05497474,0.6091995,2.132715,0.7895319,0.1271184,50.01102,10.0243,0.0147659,10.71524,8.444696,48.16359,-1.699551
gemaps_part_pain.csv,8d263d65f8e19d82393ebbaf5df53020_Pain_38_male_180705_200952.wav_features_GeMAPSv01a.csv,0.9467126,0.1195815,-134.9827,0.2483284,0.2786065,-132.6592,-0.5963835,0.2441667,-0.6313117,49.64896,-138.5355,3.775684,-0.40159,0.1862999,0.5835637,0.4593109,0.7918673,0.05991731,47.19594,11.91736,-0.008995715,3.960532,-12.72017,45.87328,-0.6551124
